"","local_health_unit","operation_name","city","state","zip","municipality","county","vendor_type","creation_date","address","lat","lon"
"1","NYC","2918 GAS CORP","BRONX","NY",10469,"BRONX","NEW YORK CITY","OTHER","11/10/2020","2918 BOSTON ROAD
BRONX, NY 10469
","40.86804999100008"," -73.85877497199994"
"2","NYC","93 DELI INC.","BRONX","NY",10452,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","93 FEATHERBED LANE
BRONX, NY 10452
","40.84639999600006"," -73.91792002799997"
"3","NYC","BORHAN FOOD MART CORP","BROOKLYN","NY",11207,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1559 BROADWAY
BROOKLYN, NY 11207
","40.68609999500006"," -73.91583796299994"
"4","NYC","CHALOUH MIDDLE EAST GROCERIES INC","BROOKLYN","NY",11223,"BROOKLYN","NEW YORK CITY","BAR/LOUNGE","11/10/2020","349 AVENUE X
BROOKLYN, NY 11223
","40.590690007000035"," -73.96996301299998"
"5","NYC","DALAL DELI INC","BROOKLYN","NY",11236,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","9801 AVENUE L
BROOKLYN, NY 11236
","40.63948999200005"," -73.89427300299997"
"6","NYC","MARIEN GROCERY CORP","BROOKLYN","NY",11207,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","99 JAMAICA AVENUE
BROOKLYN, NY 11207
","40.67881000300008"," -73.89633796799995"
"7","NYC","PATEL, ALKA","NEW YORK","NY",10018,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","500 7TH AVENUE
NEW YORK, NY 10018
","40.75296672600007"," -73.98921358099994"
"8","NYC","RIDGE ORGANIC INC","BROOKLYN","NY",11209,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","8204 3RD AVENUE
BROOKLYN, NY 11209
","40.62627998700003"," -74.03008003399998"
"9","NYC","RIVERDALE DELI & GROCERY INC.","BRONX","NY",10471,"BRONX","NEW YORK CITY","DELICATESSEN","11/10/2020","5991 BROADWAY
BRONX, NY 10471
","40.890209983000034"," -73.89829799199998"
"10","NYC","SHIVU INC","CORONA","NY",11368,"QUEENS","NEW YORK CITY","BAR/LOUNGE","11/10/2020","4015 104TH STREET
CORONA, NY 11368
","40.74928001500007"," -73.86125299799994"
