"","retailer_name","minor_involved","sale_to_minor","product_type","brand","flavor","inspection_date","decision_date","inspection_result","link","charges","address","newdate","year"
"1","CLINTON DELI AND GROCERY","Yes","Yes","E-cigarettes & Accessories","Other","Aloe Grape","05/28/2022","06/30/2022","Warning Letter Issued",NA,"Charges not yet available","413 CLINTON AVENUE, ALBANY, NY, 12206",2022-06-30,"2022"
"2","CLINTON VIBEZ SMOKE SHOP","Yes","Yes","Cigar(s)","Black & Mild","Wine","05/13/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","201 CLINTON STREET, NEW YORK, NY, 10002",2022-06-28,"2022"
"3","SAINT MARKS CONVENIENCE AND SMOKE SHOP","Yes","Yes","E-cigarettes & Accessories","Vuse","Tobacco","05/13/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","103 SAINT MARKS PLACE, NEW YORK, NY, 10009",2022-06-28,"2022"
"4","CONVENIENCE STORE","Yes","Yes","E-cigarettes & Accessories","Other","Banana Ice Cream","05/13/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","58 7TH AVENUE, NEW YORK, NY, 10011",2022-06-28,"2022"
"5","TOMPKINS FINEST DELI AND GRILL","Yes","Yes","Cigarettes in a package","Marlboro",NA,"05/13/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","153 AVENUE A, NEW YORK, NY, 10009",2022-06-28,"2022"
"6","DOJO'S DELI","Yes","Yes","Cigar(s)","Other","Natural Leaf","05/13/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","113 AVENUE D, NEW YORK, NY, 10009",2022-06-28,"2022"
"7","UNCLE SMOKE HOUSE","Yes","Yes","E-cigarettes & Accessories","Other","Watermelon Ice","05/10/2022","06/28/2022","Warning Letter Issued",NA,"Charges not yet available","2710 EAST TREMONT AVENUE, BRONX, NY, 10461",2022-06-28,"2022"
"8","QUICK STOP 1 MINI MARKET","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/10/2022","06/23/2022","Warning Letter Issued",NA,"Charges not yet available","685 MORRIS PARK AVENUE, BRONX, NY, 10462",2022-06-23,"2022"
"9","GREEN APPLE SHOP","Yes","Yes","E-cigarettes & Accessories","Other","Tangerine Ice","05/10/2022","06/23/2022","Warning Letter Issued",NA,"Charges not yet available","3571 EAST TREMONT AVENUE, BRONX, NY, 10465",2022-06-23,"2022"
"10","ROCKAWAY FOOD MART INC.","Yes","Yes","Cigarettes in a package","Newport","Menthol","05/10/2022","06/23/2022","Warning Letter Issued",NA,"Charges not yet available","186 BEACH 116TH STREET, ROCKAWAY PARK, NY, 11694",2022-06-23,"2022"
