Compliance Check Inspections of Tobacco Product Retailers Through 6/30/22 - Search Results

You searched for:
State is NY
Decision Date: 01/01/2000 through 07/01/2022 
Minor Involved: Yes
Sale to Minor: Yes

Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Flavor,Inspection Date,Decision Date,Inspection Result,Link,Charges
"ADAM'S SMOKE SHOP","908 CRANE STREET","SCHENECTADY","NY",12303,Yes,Yes,ENDS / E-liquid,Other,Peachy,05/28/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"CITGO / ALEXANDER'S COUNTRY DELI","10598 MAIN STREET","ALEXANDER","NY",14005,Yes,Yes,Cigarettes in a package,Newport,,05/15/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"CLINTON DELI AND GROCERY","413 CLINTON AVENUE","ALBANY","NY",12206,Yes,Yes,ENDS / E-liquid,Other,Aloe Grape,05/28/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"TASTY CLOUDS","3173 MAIN STREET","BUFFALO","NY",14214,Yes,Yes,ENDS / E-liquid,Other,Peach,05/31/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"SMOKER'S EMPORIUM","94 MAIN STREET","GENESEO","NY",14454,Yes,Yes,Cigarettes in a package,Newport,Menthol,05/15/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"SUNOCO / PIZZA HOUSE","1580 STRAIGHT PATH","WYANDANCH","NY",11798,Yes,Yes,Cigar(s),Other,Black Russian,See Complaint,06/30/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1388"),See Complaint
"SKY SMOKE SHOP","5211 BROADWAY STREET","LANCASTER","NY",14086,Yes,Yes,ENDS / E-liquid,Other,Banana Cherry,06/03/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"VAPE716","3500 MAIN STREET","BUFFALO","NY",14226,Yes,Yes,ENDS / E-liquid,Other,Banana Ice,05/31/2022,06/30/2022,Warning Letter Issued,,Charges not yet available
"STEWART'S SHOPS 414","536 NORTH GREENBUSH ROAD","RENSSELAER","NY",12144,Yes,Yes,Cigarettes in a package,Marlboro,,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"FAMILY DOLLAR STORES 8535","33 MAIN AVENUE","WYNANTSKILL","NY",12198,Yes,Yes,Cigarettes in a package,Marlboro,,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"CLINTON VIBEZ SMOKE SHOP","201 CLINTON STREET","NEW YORK","NY",10002,Yes,Yes,Cigar(s),Black & Mild,Wine,05/13/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"SELINA'S CONVENIENCE SMOKE SHOP / ZAZA","977 NASSAU ROAD","UNIONDALE","NY",11553,Yes,Yes,Cigar(s),Black & Mild,,05/12/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"SAINT MARKS CONVENIENCE AND SMOKE SHOP","103 SAINT MARKS PLACE","NEW YORK","NY",10009,Yes,Yes,ENDS / E-liquid,Vuse,Tobacco,05/13/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"CONVENIENCE STORE","58 7TH AVENUE","NEW YORK","NY",10011,Yes,Yes,ENDS / E-liquid,Other,Banana Ice Cream,05/13/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"LUCKY TIMES GROCERY AND DELI","75 WASHINGTON AVENUE","RENSSELAER","NY",12144,Yes,Yes,Cigarettes in a package,Marlboro,,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"PAWLING DELI","262 PAWLING AVENUE","TROY","NY",12180,Yes,Yes,Cigarettes in a package,Newport,Menthol,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"TOMPKINS FINEST DELI AND GRILL","153 AVENUE A","NEW YORK","NY",10009,Yes,Yes,Cigarettes in a package,Marlboro,,05/13/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"DOJO'S DELI","113 AVENUE D","NEW YORK","NY",10009,Yes,Yes,Cigar(s),Other,Natural Leaf,05/13/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"FAMILY DOLLAR","156 HOOSICK ST","TROY","NY",12180,Yes,Yes,Cigarettes in a package,Marlboro,,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"FOURTH STREET MARKET","106 4TH STREET","TROY","NY",12180,Yes,Yes,ENDS / E-liquid,Other,Cherry Lemonade,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"RAIZADA FUEL","63 MAIN AVENUE","WYNANTSKILL","NY",12198,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,05/11/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"UNCLE SMOKE HOUSE","2710 EAST TREMONT AVENUE","BRONX","NY",10461,Yes,Yes,ENDS / E-liquid,Other,Watermelon Ice,05/10/2022,06/28/2022,Warning Letter Issued,,Charges not yet available
"QUICK STOP 1 MINI MARKET","685 MORRIS PARK AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Black & Mild,,05/10/2022,06/23/2022,Warning Letter Issued,,Charges not yet available
"GREEN APPLE SHOP","3571 EAST TREMONT AVENUE","BRONX","NY",10465,Yes,Yes,ENDS / E-liquid,Other,Tangerine Ice,05/10/2022,06/23/2022,Warning Letter Issued,,Charges not yet available
"ROCKAWAY FOOD MART INC.","186 BEACH 116TH STREET","ROCKAWAY PARK","NY",11694,Yes,Yes,Cigarettes in a package,Newport,Menthol,05/10/2022,06/23/2022,Warning Letter Issued,,Charges not yet available
