field_1,retailer_name,minor_involved,sale_to_minor,product_type,brand,flavor,inspection_date,decision_date,inspection_result,link,charges,address,lon,lat,newdate
"28",LUCKY STAR GOURMET DELI,Yes,true,Cigar(s),Other,Sweet Aromatic,See Complaint,06/13/2022,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1109"")",See Complaint,"856 EAST 180TH STREET, BRONX, NY, 10460",,,2022/06/13
"56",CANDY AND TABACCO,Yes,true,Cigar(s),Other,Sweet Aromatic,See Complaint,05/19/2022,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0829"")",See Complaint,"2233A GRAND CONCOURSE, BRONX, NY, 10453",,,2022/05/19
"62",A AND B DELI,Yes,true,Cigar(s),Black & Mild,NA,03/27/2022,05/10/2022,Warning Letter Issued,NA,Charges not yet available,"260 EAST BURNSIDE AVENUE, BRONX, NY, 10457",,,2022/05/10
"83",188 VALENTINE DELI,Yes,true,Cigar(s),Black & Mild,NA,03/14/2022,04/21/2022,Warning Letter Issued,NA,Charges not yet available,"221 EAST 188TH STREET, BRONX, NY, 10458",,,2022/04/21
"84",314 SUPER DELI,Yes,true,Cigar(s),Black & Mild,NA,03/14/2022,04/21/2022,Warning Letter Issued,NA,Charges not yet available,"314 EAST KINGSBRIGE ROAD, BRONX, NY, 10458",,,2022/04/21
"86",HABIBI DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,03/14/2022,04/21/2022,Warning Letter Issued,NA,Charges not yet available,"576 EAST 187TH STREET, BRONX, NY, 10458",,,2022/04/21
"138",FAMILY DELI GROCERY,Yes,true,Cigar(s),Other,Sweet Aromatic,01/11/2022,03/17/2022,Warning Letter Issued,NA,Charges not yet available,"541 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2022/03/17
"146",627 GARDEN GOURMET DELI,Yes,true,Cigar(s),Other,NA,01/11/2022,03/10/2022,Warning Letter Issued,NA,Charges not yet available,"627 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2022/03/10
"149",RAFAEL JR. FOOD CENTER CORP.,Yes,true,Cigar(s),Other,NA,02/05/2022,03/10/2022,Warning Letter Issued,NA,Charges not yet available,"2701 DECATUR AVENUE, SUITE 1, BRONX, NY, 10458",,,2022/03/10
"151",TEAM DOMINICAN DELI GROCERY CORP.,Yes,true,Cigar(s),Other,Honey,02/05/2022,03/10/2022,Warning Letter Issued,NA,Charges not yet available,"651 EAST 183RD STREET, SUITE 1, BRONX, NY, 10458",,,2022/03/10
"153",STOP ONE DELI CORP.,Yes,true,Cigar(s),Other,NA,01/14/2022,03/10/2022,Warning Letter Issued,NA,Charges not yet available,"124 EAST 183RD STREET, BRONX, NY, 10453",,,2022/03/10
"171",TWENTY TWENTY,Yes,true,ENDS / E-liquid,Other,Guava Ice,01/14/2022,02/22/2022,Warning Letter Issued,NA,Charges not yet available,"2199 GRAND CONCOURSE, BRONX, NY, 10453",,,2022/02/22
"174",2193 DELI GROCERY MARKET,Yes,true,Cigar(s),Other,NA,01/14/2022,02/17/2022,Warning Letter Issued,NA,Charges not yet available,"2193 GRAND CONCOURSE, BRONX, NY, 10453",,,2022/02/17
"410",LUCKY STAR GOURMET DELI,Yes,true,Cigar(s),Other,NA,See Complaint,03/31/2020,No-Tobacco-Sale Order,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-R-1221"")",See Complaint,"856 EAST 180TH STREET, BRONX, NY, 10460",,,2020/03/31
"411",STOP ONE DELI CORP.,Yes,true,Cigar(s),Other,NA,See Complaint,03/27/2020,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2020-H-1211"")",See Complaint,"124 EAST 183RD STREET, BRONX, NY, 10453",,,2020/03/27
"454",GARDEN GOURMET DELI,Yes,true,Cigar(s),Other,NA,11/11/2019,12/05/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","627 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2019/12/05
"472",CANDY AND TABACCO,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,10/30/2019,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2019-H-4988"")",See Complaint,"2233 GRAND CONCOURSE, BRONX, NY, 10453",,,2019/10/30
"501",SANAA GOURMET DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/19/2019,07/25/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","611 EAST 182ND STREET, BRONX, NY, 10457",,,2019/07/25
"521",BP / SHOP,Yes,true,Cigar(s),Other,NA,04/27/2019,06/06/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4643 3RD AVE, BRONX, NY, 10458",,,2019/06/06
"536",1 FRANKIE GOURMET DELI CORP.,Yes,true,Cigar(s),Other,NA,03/30/2019,05/09/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2773A WEBSTER AVENUE, BRONX, NY, 10458",,,2019/05/09
"537",1976 J.J. DELI GROCERY,Yes,true,Cigar(s),Other,NA,03/19/2019,05/09/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1976 ARTHUR AVE, BRONX, NY, 10457",,,2019/05/09
"541",VARIETY STORE,Yes,true,Hookah tobacco,Al Fakher,NA,01/24/2019,04/25/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2195 GRAND CONCOURSE, BRONX, NY, 10453",,,2019/04/25
"545",9 STARS DELI,Yes,true,Cigar(s),Black & Mild,NA,01/24/2019,04/04/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2193 GRAND CONCOURSE, BRONX, NY, 10453",,,2019/04/04
"584",HOPE DELI,Yes,true,Cigar(s),Black & Mild,NA,11/14/2018,01/24/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","260 EAST BURNSIDE AVENUE, BRONX, NY, 10457",,,2019/01/24
"585",MAYSAA FORDHAM DELI,Yes,true,Cigar(s),Black & Mild,NA,11/14/2018,01/24/2019,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","164 EAST 188TH STREET, BRONX, NY, 10468",,,2019/01/24
"605",LUCKY STAR GOURMET DELI,Yes,true,Cigar(s),Other,NA,See Complaint,11/13/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-4308"")",See Complaint,"856 EAST 180TH STREET, BRONX, NY, 10460",,,2018/11/13
"618",FAMILY DELI GROCERY,Yes,true,Cigar(s),Other,NA,08/27/2018,10/18/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","541 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2018/10/18
"707",IBB GOURMET DELI GROCERY CORP.,Yes,true,Cigar(s),Black & Mild,NA,02/18/2018,03/22/2018,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","611 EAST 182ND STREET, BRONX, NY, 10457",,,2018/03/22
"710",STOP ONE DELI CORP.,Yes,true,Cigar(s),Other,NA,See Complaint,02/23/2018,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2018-H-0817"")",See Complaint,"124 EAST 183RD STREET, BRONX, NY, 10453",,,2018/02/23
"740",CANDY AND TABACCO,Yes,true,Cigar(s),Black & Mild,NA,11/10/2017,11/22/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"2233 GRAND CONCOURSE, BRONX, NY, 10453",,,2017/11/22
"741",LC DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,11/10/2017,11/22/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2155 GRAND CONCOURSE, BRONX, NY, 10453",,,2017/11/22
"752",2001 GOURMET DELI,Yes,true,Cigar(s),Other,NA,09/27/2017,10/05/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","2001 CLINTON AVENUE, BRONX, NY, 10457",,,2017/10/05
"765",180 BUS STOP DELI,Yes,true,Cigar(s),Other,NA,09/15/2017,09/28/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","702 EAST 180TH STREET, BRONX, NY, 10457",,,2017/09/28
"769",BODEGA BUILT,Yes,true,Cigar(s),Other,NA,09/15/2017,09/28/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","601 EAST 180TH STREET, BRONX, NY, 10457",,,2017/09/28
"782",LUCKY STAR GOURMET DELI,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,09/21/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5834"")",See Complaint,"856 EAST 180TH STREET, BRONX, NY, 10460",,,2017/09/21
"811",183RD STOP ONE DELI,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,08/28/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5219"")",See Complaint,"124 EAST 183RD STREET, BRONX, NY, 10453",,,2017/08/28
"882",180 EXPRESS DELI,Yes,true,Single cigarette,N/A,NA,05/25/2017,06/15/2017,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age; 1140.14(a)(4)-Open packages of cigarettes intended for the sale of individual cigarettes","906 EAST 180TH STREET, BRONX, NY, 10460",,,2017/06/15
"889",MELISSA MINI MARKET,Yes,true,Cigar(s),Black & Mild,NA,05/25/2017,06/15/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","879 EAST 175TH STREET, BRONX, NY, 10460",,,2017/06/15
"921",LAMBERT DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,05/07/2017,05/18/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"2131 BRYANT AVENUE, BRONX, NY, 10460",,,2017/05/18
"924",LA INDIA MINI MARKET INC.,Yes,true,Cigar(s),Black & Mild,NA,05/05/2017,05/18/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"1942 MARMION AVENUE, BRONX, NY, 10460",,,2017/05/18
"950",183RD STOP ONE DELI,Yes,true,Cigar(s),Black & Mild,NA,03/24/2017,04/20/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","124 EAST 183RD STREET, BRONX, NY, 10453",,,2017/04/20
"973",MORENO DELI GROCERY 1 INC.,Yes,true,Cigarettes in a package,Newport,NA,03/29/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","951 EAST 180TH STREET, BRONX, NY, 10460",,,2017/04/06
"989",LUCKY STAR GOURMET DELI INC.,Yes,true,Cigar(s),Black & Mild,NA,03/29/2017,04/06/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","856 EAST 180TH STREET, BRONX, NY, 10460",,,2017/04/06
"1025",BRYANT DELI GROCERY,Yes,true,Cigar(s),White Owl,NA,02/11/2017,02/23/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"1002 EAST TREMONT AVENUE, BRONX, NY, 10460",,,2017/02/23
"1026",LA POSADA GROCERY,Yes,true,Cigar(s),White Owl,NA,02/01/2017,02/23/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","1911 SOUTHERN BOULEVARD, BRONX, NY, 10460",,,2017/02/23
"1036",RAY'S DELI & GRILL,Yes,true,Cigar(s),Black & Mild,NA,01/24/2017,02/02/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"2152 CROTONA PKWY, BRONX, NY, 10460",,,2017/02/02
"1070",DAY & NIGHT DELI GROCERY,Yes,true,Cigarettes in a package,Marlboro,NA,10/13/2016,10/27/2016,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","985 EAST 174TH STREET, BRONX, NY, 10460",,,2016/10/27
"1083",CAMBRELENG DELI AND GROCERY,Yes,true,Cigarettes in a package,Newport,NA,Not yet available,09/12/2016,Civil Money Penalty not available,NA,Not yet available,"681 EAST 187TH STREET, BRONX, NY, 10458",,,2016/09/12
"1096",SHOKIAS DELI GROCERY,Yes,true,Single cigarette,N/A,NA,Not yet available,07/15/2016,Civil Money Penalty not available,NA,Not yet available,"2466 JEROME AVENUE, BRONX, NY, 10468",,,2016/07/15
"1112",FORDHAM EXPRESS DELI,Yes,true,Cigarettes in a package,Newport,NA,Not yet available,06/07/2016,Civil Money Penalty not available,NA,Not yet available,"11 WEST FORDHAM ROAD, BRONX, NY, 10468",,,2016/06/07
"1113",H AND A WASHINGTON DELI GROCERY,Yes,true,Single cigarette,N/A,NA,Not yet available,06/07/2016,Civil Money Penalty not available,NA,Not yet available,"2351 WASHINGTON AVENUE, BRONX, NY, 10458",,,2016/06/07
"1137",7 STARS TOBACCO SHOP,Yes,true,Single cigarette,N/A,NA,12/26/2015,01/14/2016,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age; 1140.14(d)-Open packages of cigarettes intended for the sale of individual cigarettes","2195 GRAND CONCOURSE, BRONX, NY, 10453",,,2016/01/14
"1153",CITGO FOOD MART,Yes,true,Cigarettes in a package,Marlboro,NA,10/22/2015,12/03/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"1805 WEBSTER AVENUE, BRONX, NY, 10457",,,2015/12/03
"1154",3RD AVE 1 GROCERY,Yes,true,Cigarettes in a package,Newport,NA,11/14/2015,11/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","3782 3RD AVENUE, SUITE A, BRONX, NY, 10456",,,2015/11/24
"1156",RAY'S CANDY & GROCERY,Yes,true,Cigarettes in a package,Newport,NA,11/15/2015,11/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","229 EAST 181ST STREET, BRONX, NY, 10457",,,2015/11/24
"1160",OPTIMUM MINI MART,Yes,true,Cigarettes in a package,Newport,NA,11/17/2015,11/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","2130 VALENTINE AVENUE, BRONX, NY, 10457",,,2015/11/24
"1177",GARDEN GOURMET DELI,Yes,true,Cigarettes in a package,Marlboro,NA,11/01/2015,11/12/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","627 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2015/11/12
"1181",TAIZ DELI GROCERY,Yes,true,Cigarettes in a package,Newport,NA,10/14/2015,11/12/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","2654 VALENTINE AVENUE, BRONX, NY, 10458",,,2015/11/12
"1182",QUICK STOP DELI,Yes,true,Cigarettes in a package,Newport,NA,11/01/2015,11/12/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","685 EAST TREMONT AVENUE, BRONX, NY, 10457",,,2015/11/12
"1183",GULF,Yes,true,Cigarettes in a package,Newport,NA,10/25/2015,11/12/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","601 EAST FORDHAM ROAD, BRONX, NY, 10458",,,2015/11/12
"1188",BP TO GO,Yes,true,Cigarettes in a package,Marlboro,NA,10/25/2015,11/05/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"4068 THIRD AVENUE, BRONX, NY, 10457",,,2015/11/05
"1194",2374 KING DELI & GROCERY,Yes,true,Single cigarette,N/A,NA,10/14/2015,10/29/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age; 1140.14(d)-Open packages of cigarettes intended for the sale of individual cigarettes","2374 JEROME AVENUE, BRONX, NY, 10468",,,2015/10/29
"1207",BRIGGS GOURMET DELI,Yes,true,Cigarettes in a package,Newport,NA,10/08/2015,10/22/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","2650 BRIGGS AVENUE, BRONX, NY, 10458",,,2015/10/22
"1227",BRAVO COFFEE & DELI,Yes,true,Cigarettes in a package,Newport,NA,09/26/2015,10/01/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","608 EAST 187TH STREET, BRONX, NY, 10458",,,2015/10/01
"1228",CAMBRELENG DELI GROCERY,Yes,true,Single cigarette,N/A,NA,09/26/2015,10/01/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age; 1140.14(d)-Open packages of cigarettes intended for the sale of individual cigarettes","681 EAST 187TH STREET, BRONX, NY, 10458",,,2015/10/01
"1230",QUICK HERO CITY DELI,Yes,true,Cigarettes in a package,Newport,NA,09/26/2015,10/01/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","617 E FORDHAM RD, BRONX, NY, 10458",,,2015/10/01
"1251",H & A WASHINGTON DELI GROCERY,Yes,true,Single cigarette,N/A,NA,09/14/2015,09/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age; 1140.14(d)-Open packages of cigarettes intended for the sale of individual cigarettes","2351 WASHINGTON AVENUE, BRONX, NY, 10458",,,2015/09/24
"1252",FORDHAM EXPRESS DELI,Yes,true,Cigarettes in a package,Newport,NA,09/17/2015,09/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","11 WEST FORDHAM ROAD, BRONX, NY, 10468",,,2015/09/24
"1261",SHOKAIS GROCERY STORE,Yes,true,Cigarettes in a package,Newport,NA,09/17/2015,09/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","2466 JEROME AVENUE, BRONX, NY, 10468",,,2015/09/24
"299",9202 37TH AVE DELI & GROCERY,Yes,true,Cigar(s),Other,NA,07/24/2021,11/23/2021,Warning Letter Issued,NA,Sec. 906(d)(5) (21 U.S.C. 387f)-Sale of tobacco product to person under 21,"9202 37TH AVENUE, JACKSON HEIGHTS, NY, 11372",,,2021/11/23
