"","boro_cd","fid.x","shape_leng.x","shape_area.x","numpoints.x","fid.y","shape_leng.y","shape_area.y","numpoints.y","normalize"
"1",101,37,69888.7721987,41700790.304,4,37,69888.7721987,41700790.304,126,0.0317460317460317
"2",102,34,34130.595133,37689203.7076,15,34,34130.595133,37689203.7076,123,0.121951219512195
"3",103,35,30468.3019918,46879760.9173,18,35,30468.3019918,46879760.9173,178,0.101123595505618
"4",104,18,67623.6352369,49311989.5963,16,18,67623.6352369,49311989.5963,153,0.104575163398693
"5",105,28,35288.3045063,43790297.0498,5,28,35288.3045063,43790297.0498,293,0.0170648464163823
"6",106,46,43163.8367057,38733647.9252,5,46,43163.8367057,38733647.9252,119,0.0420168067226891
"7",107,10,39863.7028994,53152583.3496,32,10,39863.7028994,53152583.3496,113,0.283185840707965
"8",108,29,54119.3554563,55218662.6727,20,29,54119.3554563,55218662.6727,138,0.144927536231884
"9",109,31,34959.9471538,41895712.1455,24,31,34959.9471538,41895712.1455,76,0.315789473684211
"10",110,32,35870.7334649,39086189.7647,43,32,35870.7334649,39086189.7647,118,0.364406779661017
"11",111,68,59502.9102045,66146008.8024,34,68,59502.9102045,66146008.8024,135,0.251851851851852
"12",112,27,54705.6806751,77964305.7894,16,27,54705.6806751,77964305.7894,143,0.111888111888112
"13",164,30,32721.0976653,38312378.4704,0,30,32721.0976653,38312378.4704,0,0
"14",201,69,33342.4672817,60400029.6503,52,69,33342.4672817,60400029.6503,110,0.472727272727273
"15",202,66,48502.6582635,61808788.8557,25,66,48502.6582635,61808788.8557,65,0.384615384615385
"16",203,70,33500.0688342,44796870.5429,35,70,33500.0688342,44796870.5429,86,0.406976744186047
"17",204,71,31358.4507861,55522140.3262,41,71,31358.4507861,55522140.3262,169,0.242603550295858
"18",205,4,29443.0481287,38316975.1292,55,4,29443.0481287,38316975.1292,127,0.433070866141732
"19",206,1,35875.7117328,42664311.5086,35,1,35875.7117328,42664311.5086,104,0.336538461538462
"20",207,5,44812.1474256,53311689.1,46,5,44812.1474256,53311689.1,128,0.359375
"21",208,6,47817.4255674,92071723.6338,30,6,47817.4255674,92071723.6338,59,0.508474576271186
"22",209,67,62243.2606875,114284865.498,62,67,62243.2606875,114284865.498,139,0.446043165467626
"23",210,15,272580.149323,179092602.906,29,15,272580.149323,179092602.906,99,0.292929292929293
"24",211,38,45740.1067135,100317185.617,34,38,45740.1067135,100317185.617,103,0.330097087378641
"25",212,39,84115.5742354,154906824.018,54,39,84115.5742354,154906824.018,123,0.439024390243902
"26",226,25,32820.429206,50565988.4005,0,25,32820.429206,50565988.4005,0,0
"27",227,17,28390.9864655,31428497.8373,0,17,28390.9864655,31428497.8373,1,0
"28",228,16,118452.346622,92824293.4806,0,16,118452.346622,92824293.4806,0,0
"29",301,47,68935.8015175,131703277.742,8,47,68935.8015175,131703277.742,205,0.0390243902439024
"30",302,62,74179.9093697,79329462.807,16,62,74179.9093697,79329462.807,113,0.141592920353982
"31",303,8,36213.6712642,79461502.4768,25,8,36213.6712642,79461502.4768,184,0.135869565217391
"32",304,3,37007.806599,56662613.1611,11,3,37007.806599,56662613.1611,144,0.0763888888888889
"33",305,33,65110.8527912,155483680.315,12,33,65110.8527912,155483680.315,158,0.0759493670886076
"34",306,63,82155.6813057,85501561.5757,5,63,82155.6813057,85501561.5757,92,0.0543478260869565
"35",307,59,87448.6965828,104126845.792,2,59,87448.6965828,104126845.792,118,0.0169491525423729
"36",308,19,38232.8875214,45603787.1509,13,19,38232.8875214,45603787.1509,85,0.152941176470588
"37",309,12,29932.8589485,45315422.736,5,12,29932.8589485,45315422.736,68,0.0735294117647059
"38",310,40,44791.2692857,111345733.899,37,40,44791.2692857,111345733.899,114,0.324561403508772
"39",311,23,51537.3765669,103210761.176,49,23,51537.3765669,103210761.176,156,0.314102564102564
"40",312,54,52245.8308048,99525499.8,16,54,52245.8308048,99525499.8,89,0.179775280898876
"41",313,56,65780.7920443,88175872.5817,17,56,65780.7920443,88175872.5817,64,0.265625
"42",314,55,49295.2110345,82174171.9209,15,55,49295.2110345,82174171.9209,101,0.148514851485149
"43",315,57,115578.808287,131639462.063,30,57,115578.808287,131639462.063,118,0.254237288135593
"44",316,21,32997.5917303,51768917.2373,11,21,32997.5917303,51768917.2373,90,0.122222222222222
"45",317,22,43327.4270075,93818779.7374,7,22,43327.4270075,93818779.7374,102,0.0686274509803922
"46",318,52,188015.597479,235420427.179,10,52,188015.597479,235420427.179,98,0.102040816326531
"47",355,20,23962.1702512,26143730.475,0,20,23962.1702512,26143730.475,1,0
"48",356,53,255291.874949,130225615.538,0,53,255291.874949,130225615.538,0,0
"49",401,14,90822.3834184,171488853.694,7,14,90822.3834184,171488853.694,198,0.0353535353535354
"50",402,44,72027.1724212,139964996.678,2,44,72027.1724212,139964996.678,115,0.0173913043478261
"51",403,11,41655.0770977,83489684.8837,13,11,41655.0770977,83489684.8837,107,0.121495327102804
"52",404,2,37018.3738392,65739661.969,27,2,37018.3738392,65739661.969,123,0.219512195121951
"53",405,45,70005.254767,210395687.55,8,45,70005.254767,210395687.55,182,0.043956043956044
"54",406,58,42767.4243444,82702342.0165,12,58,42767.4243444,82702342.0165,64,0.1875
"55",407,48,145327.606655,328288556.705,18,48,145327.606655,328288556.705,135,0.133333333333333
"56",408,60,70116.7274249,207557186.748,10,60,70116.7274249,207557186.748,74,0.135135135135135
"57",409,36,50772.0024649,107378329.661,40,36,50772.0024649,107378329.661,105,0.380952380952381
"58",410,26,105824.207452,172080394.211,24,26,105824.207452,172080394.211,99,0.242424242424242
"59",411,49,103434.690892,260362937.423,7,49,103434.690892,260362937.423,48,0.145833333333333
"60",412,9,65928.4103495,267333306.426,102,9,65928.4103495,267333306.426,226,0.451327433628319
"61",413,50,140570.456019,350469473.678,47,50,140570.456019,350469473.678,96,0.489583333333333
"62",414,41,210953.755317,195551377.351,15,41,210953.755317,195551377.351,67,0.223880597014925
"63",480,13,47208.3799433,32763528.3673,2,13,47208.3799433,32763528.3673,6,0.333333333333333
"64",481,61,53812.0546496,47558881.5222,0,61,53812.0546496,47558881.5222,0,0
"65",482,51,31981.2583185,24258020.5392,0,51,31981.2583185,24258020.5392,0,0
"66",483,7,106865.645248,191997989.517,1,7,106865.645248,191997989.517,4,0.25
"67",484,42,239254.065247,118988121.886,0,42,239254.065247,118988121.886,0,0
"68",501,64,153758.729558,377210234.446,67,64,153758.729558,377210234.446,163,0.411042944785276
"69",502,65,142728.638856,591528782.815,25,65,142728.638856,591528782.815,91,0.274725274725275
"70",503,43,188980.049403,600326986.825,24,43,188980.049403,600326986.825,91,0.263736263736264
"71",595,24,109772.581818,54565276.9087,0,24,109772.581818,54565276.9087,0,0
