fid,BoroCD,Shape_Leng,Shape_Area,NUMPOINTS
"1","206",35875.7117328,42664311.5086,104
"2","404",37018.3738392,65739661.969,123
"3","304",37007.806599,56662613.1611,144
"4","205",29443.0481287,38316975.1292,127
"5","207",44812.1474256,53311689.1,128
"6","208",47817.4255674,92071723.6338,59
"7","483",106865.645248,191997989.517,4
"8","303",36213.6712642,79461502.4768,184
"9","412",65928.4103495,267333306.426,226
"10","107",39863.7028994,53152583.3496,113
"11","403",41655.0770977,83489684.8837,107
"12","309",29932.8589485,45315422.736,68
"13","480",47208.3799433,32763528.3673,6
"14","401",90822.3834184,171488853.694,198
"15","210",272580.149323,179092602.906,99
"16","228",118452.346622,92824293.4806,0
"17","227",28390.9864655,31428497.8373,1
"18","104",67623.6352369,49311989.5963,153
"19","308",38232.8875214,45603787.1509,85
"20","355",23962.1702512,26143730.475,1
"21","316",32997.5917303,51768917.2373,90
"22","317",43327.4270075,93818779.7374,102
"23","311",51537.3765669,103210761.176,156
"24","595",109772.581818,54565276.9087,0
"25","226",32820.429206,50565988.4005,0
"26","410",105824.207452,172080394.211,99
"27","112",54705.6806751,77964305.7894,143
"28","105",35288.3045063,43790297.0498,293
"29","108",54119.3554563,55218662.6727,138
"30","164",32721.0976653,38312378.4704,0
"31","109",34959.9471538,41895712.1455,76
"32","110",35870.7334649,39086189.7647,118
"33","305",65110.8527912,155483680.315,158
"34","102",34130.595133,37689203.7076,123
"35","103",30468.3019918,46879760.9173,178
"36","409",50772.0024649,107378329.661,105
"37","101",69888.7721987,41700790.304,126
"38","211",45740.1067135,100317185.617,103
"39","212",84115.5742354,154906824.018,123
"40","310",44791.2692857,111345733.899,114
"41","414",210953.755317,195551377.351,67
"42","484",239254.065247,118988121.886,0
"43","503",188980.049403,600326986.825,91
"44","402",72027.1724212,139964996.678,115
"45","405",70005.254767,210395687.55,182
"46","106",43163.8367057,38733647.9252,119
"47","301",68935.8015175,131703277.742,205
"48","407",145327.606655,328288556.705,135
"49","411",103434.690892,260362937.423,48
"50","413",140570.456019,350469473.678,96
"51","482",31981.2583185,24258020.5392,0
"52","318",188015.597479,235420427.179,98
"53","356",255291.874949,130225615.538,0
"54","312",52245.8308048,99525499.8,89
"55","314",49295.2110345,82174171.9209,101
"56","313",65780.7920443,88175872.5817,64
"57","315",115578.808287,131639462.063,118
"58","406",42767.4243444,82702342.0165,64
"59","307",87448.6965828,104126845.792,118
"60","408",70116.7274249,207557186.748,74
"61","481",53812.0546496,47558881.5222,0
"62","302",74179.9093697,79329462.807,113
"63","306",82155.6813057,85501561.5757,92
"64","501",153758.729558,377210234.446,163
"65","502",142728.638856,591528782.815,91
"66","202",48502.6582635,61808788.8557,65
"67","209",62243.2606875,114284865.498,139
"68","111",59502.9102045,66146008.8024,135
"69","201",33342.4672817,60400029.6503,110
"70","203",33500.0688342,44796870.5429,86
"71","204",31358.4507861,55522140.3262,169
