"","year","product_type","n"
"1","2014","Cigarettes in a package",2
"2","2015","Cigar(s)",25
"3","2015","Cigarette tobacco",18
"4","2015","Cigarettes in a package",354
"5","2015","Smokeless tobacco",7
"6","2016","Cigar(s)",9
"7","2016","Cigarette tobacco",2
"8","2016","Cigarettes in a package",81
"9","2017","Cigar(s)",253
"10","2017","Cigarettes in a package",61
"11","2017","E-cigarettes & Accessories",8
"12","2018","Cigar(s)",120
"13","2018","Cigarettes in a package",11
"14","2018","E-cigarettes & Accessories",3
"15","2019","Cigar(s)",137
"16","2019","Cigarettes in a package",3
"17","2019","E-cigarettes & Accessories",5
"18","2019","Tobacco",2
"19","2020","Cigar(s)",41
"20","2020","Cigarettes in a package",1
"21","2020","E-cigarettes & Accessories",1
"22","2020","Tobacco",1
"23","2021","Cigar(s)",72
"24","2021","Cigarettes in a package",7
"25","2021","E-cigarettes & Accessories",69
"26","2022","Cigar(s)",214
"27","2022","Cigarettes in a package",13
"28","2022","E-cigarettes & Accessories",25
